Species,Genbank_accession_number,,
Eidolon helvum,AWHC0+.1 ,,
  Hipposideros armiger,JXIK0+.1 ,,
  Megaderma lyra,AWHB0+.1 ,,
  Pteropus alecto,ALWS0+.1 ,,
  Pteropus vampyrus,ABRP0+.2 ,,
  Rhinolophus ferrumequinum Rhinolophidae,AWHA0+.1 ,,
Rhinolophus sinicus,LVEH0+.1 ,,
  Rousettus aegyptiacus,LOCP0+.2 ,,
  Eptesicus fuscus,ALEH0+.1 ,,
  Miniopterus natalensis,LDJU0+.1 ,,
  Myotis brandtii,ANKR0+.1 ,,
  Myotis davidii,ALWT0+.1 ,,
  Myotis lucifugus,AAPE0+.2 ,,
  Pteronotus parnellii,AWGZ0+.1 ,,
  ,,,
,,,